rep;DATASET_NBR;FEAT_EXTR_ALGORITHM;GROUND_TRUTH_TRESHOLD;KFOLDS;NBR_OF_SUPERPIXELS;PATCH_HEIGHT;PATCH_WIDTH;RANDOM_SEED;RF_MAX_DEPTH;RF_NBR_TREES;UNET_ADAGRAD_DECAY;UNET_ADAGRAD_EPSILON;UNET_ADAGRAD_LEARNING_RATE;UNET_ADAMAX_BETA1;UNET_ADAMAX_BETA2;UNET_ADAMAX_DECAY;UNET_ADAMAX_EPSILON;UNET_ADAMAX_LEARNING_RATE;UNET_ADAM_BETA1;UNET_ADAM_BETA2;UNET_ADAM_DECAY;UNET_ADAM_EPSILON;UNET_ADAM_LEARNING_RATE;UNET_BATCHSIZE;UNET_CURR_TRIAL;UNET_DATA_GAUSSIAN_NOISE_STD;UNET_DATA_HEIGHT_SHIFT;UNET_DATA_ROT_RANGE;UNET_DATA_SHEAR_RANGE;UNET_DATA_STEPS_PER_EPOCH;UNET_DATA_USE_GENERATOR;UNET_DATA_WIDTH_SHIFT;UNET_LOSS;UNET_MODEL_NBR;UNET_NBR_EPOCHS;UNET_OPTIMIZER;UNET_SAVE_EPOCH_INTERVAL;UNET_SAVE_ONLY_BEST_WEIGHT;UNET_SGD_DECAY;UNET_SGD_LEARNING_RATE;UNET_SGD_MOMENTUM;UNET_SGD_NESTEROV;UNET_VALIDATION_SPLIT;acc_@_f1_score_max;accuracy;f1_max_px_lvl;f1_score;f1_score_max;pre_@_f1_score_max;pre_px_lvl;precision;rec_@_f1_score_max;rec_px_lvl;recall;th_@_f1_score_max
0;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;0;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9990871632;0.9988969768;0.9000459347;0.9570753778;0.9727598453;0.9745102905;0.9354464476;0.9790944557;0.9714285714;0.8672270775;0.9371830986;0.4013333333
1;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;1;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.999201304;0.9990111176;0.904545383;0.9619043617;0.9745001672;0.9752546024;0.9299652734;0.9851906917;0.9744064386;0.8804781843;0.9401609658;0.428
2;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;2;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.999201304;0.9990871921;0.9084896024;0.9650468883;0.9771820781;0.9744409452;0.9319682107;0.9851158645;0.9800804829;0.8861648941;0.9458752515;0.304
3;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;3;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9990872138;0.9989351009;0.9017993347;0.9590723808;0.9746936221;0.9701942468;0.9318148378;0.9822054904;0.9800402414;0.8736571982;0.9373843058;0.4426666667
4;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;4;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9992012967;0.9990491838;0.909344885;0.9638800731;0.97738218;0.9720960439;0.9362764663;0.9796248934;0.9828973843;0.8839193335;0.9487323944;0.324
5;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;5;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9992393268;0.9989730659;0.9041209368;0.9604178145;0.9785996555;0.9801541131;0.9330884981;0.9791431933;0.9771830986;0.8768978053;0.9428973843;0.3933333333
6;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;6;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9991252656;0.9988210325;0.9041191338;0.9548528473;0.9740464854;0.9803588196;0.938895721;0.9798343685;0.9688531187;0.8718267725;0.9316700201;0.3866666667
7;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;7;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9990111538;0.998782959;0.8994982979;0.9530814326;0.9702499998;0.9671326042;0.9362124254;0.9823038955;0.9743661972;0.8655550418;0.9259557344;0.3386666667
8;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;8;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9991252439;0.9990491766;0.9074051988;0.9631880701;0.9731683899;0.9637661127;0.9316892387;0.9857936022;0.9828571429;0.8843549059;0.9429376258;0.2786666667
90;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;9;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9992393051;0.9990110814;0.9080580943;0.9621561097;0.9788217456;0.9749532813;0.9352452048;0.9797101449;0.9828973843;0.8824069651;0.9457947686;0.328
9;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;0;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9992774292;0.998821018;0.9085313673;0.9543332545;0.9802786221;0.974876106;0.9297638785;0.9852381714;0.9857947686;0.8882469555;0.925915493;0.324
10;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;1;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9991252222;0.9990111537;0.9056689918;0.9620392937;0.9742998901;0.9745419954;0.9337514227;0.9852437418;0.9742857143;0.8792263929;0.9402414487;0.3786666667
11;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;2;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9991632739;0.9991632667;0.9088606284;0.9681884479;0.9771784815;0.974590576;0.933042567;0.9797766691;0.98;0.8859004851;0.95722334;0.352
12;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;3;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9993534386;0.9993534314;0.9098671664;0.9754065183;0.9830576516;0.9776930074;0.9383387986;0.9827170167;0.9886519115;0.8830724583;0.9686519115;0.4666666667
13;9;unet;0.5;5;200;32;32;0;0;150;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;0.9;0.999;0;0.00000001;0.0001;4;4;13;0.2;11.25;22.5;2000;1;0.2;mse;5;100;adam;10;0;0;0.0001;0;0;0;0.9992013112;0.9990111321;0.9065198258;0.961905309;0.978476515;0.9781531097;0.9345287502;0.9882740448;0.9800402414;0.880140967;0.9372635815;0.2853333333
